379,Bowei Yan,University of Texas at Austin,Pradeep Ravikumar,Carnegie Mellon University,"Binary Classification with Karmic, Threshold-Quasi-Concave Metrics"
380,Suriya Gunasekar,Toyota Technological Institute at Chicago,Nati Srebro,Toyota Technological Institute at Chicago,Characterizing Implicit Bias in Terms of Optimization Geometry
381,Christopher Metzler,Rice University,Richard Baraniuk,OpenStax / Rice University,prDeep: Robust Phase Retrieval with a Flexible Deep Network
382,Paidamoyo Chapfuwa,Duke University,Ricardo Henao,Duke University,Adversarial Time-to-Event Modeling
383,Matt Amodio,Yale University,Smita Krishnaswamy,Yale University,MAGAN: Aligning Biological Manifolds
384,Ursula Hebert-Johnson,Stanford University,Guy Rothblum,Weizmann Institute of Science,Multicalibration: Calibration for the (Computationally-Identifiable) Masses
385,Xueru Zhang,University of Michigan,Mingyan Liu,"University of Michigan, Ann Arbor",Improving the Privacy and Accuracy of ADMM-Based Distributed Algorithms
386,Xi Chen,covariant.ai,Pieter Abbeel,OpenAI / UC Berkeley,PixelSNAIL: An Improved Autoregressive Generative Model
387,Rosemary Nan Ke,"MILA, University of Montreal",Christopher Pal,École Polytechnique de Montréal,Focused Hierarchical RNNs for Conditional Sequence Processing
388,Jaakko Lehtinen,Aalto University & NVIDIA,Timo Aila,NVIDIA,Noise2Noise: Learning Image Restoration without Clean Data
389,Mengye Ren,Uber ATG / University of Toronto,Raquel Urtasun,University of Toronto,Learning to Reweight Examples for Robust Deep Learning
390,David Abel,Brown University,Michael L. Littman,Brown University,Policy and Value Transfer in Lifelong Reinforcement Learning
391,Cédric Colas,Inria,Pierre-Yves Oudeyer,Inria,GEP-PG: Decoupling Exploration and Exploitation in Deep Reinforcement Learning Algorithms
392,Adam Roberts,Google Brain,Douglas Eck,Google Brain,A Hierarchical Latent Vector Model for Learning Long-Term Structure in Music
393,SHIYU LIANG,UIUC,R Srikant,UIUC,Understanding the Loss Surface of Neural Networks for Binary Classification
394,Minmin Chen,Google research,Samuel Schoenholz,Google Brain,Dynamical Isometry and a Mean Field Theory of RNNs: Gating Enables Signal Propagation in Recurrent Neural Networks
395,Renjie Liao,University of Toronto,Richard Zemel,Vector Institute,Reviving and Improving Recurrent Back-Propagation
396,Hiroyuki Kasai,The University of Electro-Communications,Bamdev Mishra,Microsoft,Riemannian Stochastic Recursive Gradient Algorithm with Retraction and Vector Transport and Its Convergence Analysis
397,Samet Oymak,"University of California, Riverside",Samet Oymak,"University of California, Riverside",Learning Compact Neural Networks with Regularization
398,Rachit Dubey,"University of California, Berkeley",Alexei Efros,UC Berkeley,Investigating Human Priors for Playing Video Games
