979,Karsten Roth,"Heidelberg University, Mila",Joseph Paul Cohen,"Mila, University of Montreal",Revisiting Training Strategies and Generalization Performance in Deep Metric Learning
980,Adeel Pervez,University of Amsterdam,Stratis Gavves,University of Amsterdam,Low Bias Low Variance Gradient Estimates for Hierarchical Boolean Stochastic Networks
981,Max Simchowitz,UC Berkeley,Dylan Foster,MIT,Naive Exploration is Optimal for Online LQR
982,Ahmed Alaa,UCLA,Mihaela van der Schaar,University of Cambridge and UCLA,Discriminative Jackknife: Quantifying Uncertainty in Deep Learning via Higher-Order Influence Functions
983,Anton Zhiyanov,"Yandex Research, MSU im. Lomonosova",Alexey Drutsa,Yandex,Bisection-Based Pricing for Repeated Contextual Auctions against Strategic Buyer
984,Jakub Swiatkowski,University of Warsaw,Sebastian Nowozin,Microsoft Research,The k-tied Normal Distribution: A Compact Parameterization of Gaussian Mean Field Posteriors in Bayesian Neural Networks
985,Celestine Mendler-Dünner,"University of California, Berkeley",Aurelien Lucchi,ETH Zurich,Randomized Block-Diagonal Preconditioning for Parallel Learning
986,Maria Vladarean,EPFL,Volkan Cevher,EPFL,Conditional gradient methods for stochastically constrained convex minimization
987,Martin Wistuba,IBM Research,Tejaswini Pedapati,IBM Research,Learning to Rank Learning Curves
988,Edith Cohen,Google Research and Tel Aviv University,Rasmus Pagh,IT University of Copenhagen,Composable Sketches for Functions of Frequencies: Beyond the Worst Case
989,Pouya M Ghari,"University of California, Irvine",Yanning Shen,"University of California, Irvine",Online Multi-Kernel Learning with Graph-Structured Feedback
990,Rui Shu,Stanford University,Hung Bui,VinAI Research,Predictive Coding for Locally-Linear Control
991,Aditya Kusupati,University of Washington,Ali Farhadi,"University of Washington, Allen Institue for AI",Soft Threshold Weight Reparameterization for Learnable Sparsity
992,Aviv Rosenberg,Tel Aviv University,Haim Kaplan,"TAU, GOOGLE",Near-optimal Regret Bounds for Stochastic Shortest Path
993,Olivier Henaff,DeepMind,Olivier Henaff,DeepMind,Data-Efficient Image Recognition with Contrastive Predictive Coding
994,Francesco Croce,University of Tuebingen,Matthias Hein,University of Tübingen,Minimally distorted Adversarial Examples with a Fast Adaptive Boundary Attack
995,Ahmet Alacaoglu,EPFL,Volkan Cevher,EPFL,Random extrapolation for primal-dual coordinate descent
996,Jean-Bastien Grill,DeepMind,Remi Munos,DeepMind,Monte-Carlo Tree Search as Regularized Policy Optimization
997,Liudmila Prokhorenkova,Yandex,Aleksandr Shekhovtsov,"Yandex, Higher School of Economics",Graph-based Nearest Neighbor Search: From Practice to Theory
998,Paul Rolland,Ecole Polytechnique Fédérale de Lausanne,Volkan Cevher,EPFL,Double-Loop Unadjusted Langevin Algorithm
