,first-author,first-author-affiliation,last-author,last-author-affiliation,title
339,Keegan Kang,Singapore University Of Technology And Design,Wei Pin Wong,Singapore University of Technology and Design,Improving Sign Random Projections With Additional Information
340,Ciara Pike-Burke,Lancaster University,Steffen Grünewälder,Lancaster University,"Bandits with Delayed, Aggregated Anonymous Feedback"
341,Zeyuan Allen-Zhu,Microsoft Research AI,Yuanzhi Li,Princeton University,Make the Minority Great Again: First-Order Regret Bound for Contextual Bandits
342,Aditya Grover,Stanford University,Harrison Edwards,OpenAI / University of Edinburgh,Learning Policy Representations in Multiagent Systems
343,Eugenio Bargiacchi,Vrije Universiteit Brussel,Hado van Hasselt,DeepMind,Learning to Coordinate with Coordination Graphs in Repeated Single-Stage Multi-Agent Decision Problems
344,Yiping Lu,Peking University,Bin Dong,Peking University,Beyond Finite Layer Neural Networks: Bridging Deep Architectures and Numerical Differential Equations
345,Bin Dai,Tsinghua University,David Wipf,Microsoft Research,Compressing Neural Networks using the Variational Information Bottelneck
346,Yichen Chen,Princeton University,Mengdi Wang,Princeton University,Scalable Bilinear Pi Learning Using State and Action Features
347,Fabio Pardo,Imperial College London,Petar Kormushev,Imperial College London,Time Limits in Reinforcement Learning
348,Tal Wagner,MIT,Nina Mishra,Amazon,Semi-Supervised Learning on Data Streams via Temporal Label Propagation
349,Cong Ma,Princeton University,Yuxin Chen,Princeton University,Implicit Regularization in Nonconvex Statistical Estimation: Gradient Descent Converges Linearly for Phase Retrieval and Matrix Completion
350,Beilun Wang,University of Virginia,Yanjun Qi,University of Virginia,A Fast and Scalable Joint Estimator for Integrating Additional Knowledge in Learning Multiple Related Sparse Gaussian Graphical Models
351,Sungsoo Ahn,KAIST,Jinwoo Shin,KAIST,Bucket Renormalization for Approximate Inference
352,Takafumi Kajihara,NEC,Kenji Fukumizu,Institute of Statistical Mathematics,Kernel Recursive ABC: Point Estimation with Intractable Likelihood
353,Roberta Raileanu,NYU,Facebook Rob Fergus,"Facebook AI Research, NYU",Modeling Others using Oneself in Multi-Agent Reinforcement Learning
354,Liwen Zhang,University of Chicago,Lek-Heng Lim,University of Chicago,Tropical Geometry of Deep Neural Networks
355,Arnu Pretorius,Stellenbosch University,Herman Kamper,Stellenbosch University,Learning Dynamics of Linear Denoising Autoencoders
356,Jean Feng,University of Washington,Marco Carone,University of Washington,Nonparametric variable importance using an augmented neural network with multi-task learning
357,Matthew Mirman,ETH Zürich,Martin Vechev,ETH Zurich,Training Neural Machines with Trace-Based Supervision
358,Si Liu,Oregon State University,Dan Hendrycks,UC Berkeley,Open Category Detection with PAC Guarantees
