,first-author,,first-author-affiliation,last-author,,last-author-affiliation,title
379,Bowei Yan,Female,University of Texas at Austin,Pradeep Ravikumar,Male,Carnegie Mellon University,"Binary Classification with Karmic, Threshold-Quasi-Concave Metrics"
380,Suriya Gunasekar,Female,Toyota Technological Institute at Chicago,Nati Srebro,Male,Toyota Technological Institute at Chicago,Characterizing Implicit Bias in Terms of Optimization Geometry
381,Christopher Metzler,Male,Rice University,Richard Baraniuk,Male,OpenStax / Rice University,prDeep: Robust Phase Retrieval with a Flexible Deep Network
382,Paidamoyo Chapfuwa,Female,Duke University,Ricardo Henao,Male,Duke University,Adversarial Time-to-Event Modeling
383,Matt Amodio,Male,Yale University,Smita Krishnaswamy,Female,Yale University,MAGAN: Aligning Biological Manifolds
384,Ursula Hebert-Johnson,Male,Stanford University,Guy Rothblum,Male,Weizmann Institute of Science,Multicalibration: Calibration for the (Computationally-Identifiable) Masses
385,Xueru Zhang,Female,University of Michigan,Mingyan Liu,Male,"University of Michigan, Ann Arbor",Improving the Privacy and Accuracy of ADMM-Based Distributed Algorithms
386,Xi Chen,Male,covariant.ai,Pieter Abbeel,Male,OpenAI / UC Berkeley,PixelSNAIL: An Improved Autoregressive Generative Model
387,Rosemary Nan Ke,Female,"MILA, University of Montreal",Christopher Pal,Male,École Polytechnique de Montréal,Focused Hierarchical RNNs for Conditional Sequence Processing
388,Jaakko Lehtinen,Male,Aalto University & NVIDIA,Timo Aila,Male,NVIDIA,Noise2Noise: Learning Image Restoration without Clean Data
389,Mengye Ren,Male,Uber ATG / University of Toronto,Raquel Urtasun,Female,University of Toronto,Learning to Reweight Examples for Robust Deep Learning
390,David Abel,Male,Brown University,Michael L. Littman,Male,Brown University,Policy and Value Transfer in Lifelong Reinforcement Learning
391,Cédric Colas,Male,Inria,Pierre-Yves Oudeyer,Male,Inria,GEP-PG: Decoupling Exploration and Exploitation in Deep Reinforcement Learning Algorithms
392,Adam Roberts,Male,Google Brain,Douglas Eck,Male,Google Brain,A Hierarchical Latent Vector Model for Learning Long-Term Structure in Music
393,SHIYU LIANG,Male,UIUC,R Srikant,Male,UIUC,Understanding the Loss Surface of Neural Networks for Binary Classification
394,Minmin Chen,Male,Google research,Samuel Schoenholz,Male,Google Brain,Dynamical Isometry and a Mean Field Theory of RNNs: Gating Enables Signal Propagation in Recurrent Neural Networks
395,Renjie Liao,Male,University of Toronto,Richard Zemel,Male,Vector Institute,Reviving and Improving Recurrent Back-Propagation
396,Hiroyuki Kasai,Male,The University of Electro-Communications,Bamdev Mishra,Male,Microsoft,Riemannian Stochastic Recursive Gradient Algorithm with Retraction and Vector Transport and Its Convergence Analysis
397,Samet Oymak,Male,"University of California, Riverside",Samet Oymak,Male,"University of California, Riverside",Learning Compact Neural Networks with Regularization
398,Rachit Dubey,Male,"University of California, Berkeley",Alexei Efros,Male,UC Berkeley,Investigating Human Priors for Playing Video Games
