,first-author,,first-author-affiliation,last-author,,last-author-affiliation,title
219,lum Maystre,Male,EPFL,Matt Grossglauser,Male,EPFL,ChoiceRank: Identifying Preferences from Node Traffic in Networks
220,Jie Shen,Male,Rutgers University,Ping Li,Male,Rugters University,On the Iteration Complexity of Support Recovery via Hard Thresholding Pursuit
221,Olivier Bachem,Male,ETH Zurich,Andreas Krause,Male,ETH Zurich,Uniform Deviation Bounds for k-Means Clustering
222,Natasha Jaques,Female,Massachusetts Institute of Technology,Douglas Eck,Male,Google Brain,Sequence Tutor: Conservative fine-tuning of sequence generation models with KL-control
223,Bin Hu,Male,University of Wisconsin,Laurent Lessard,Male,University of Wisconsin-Madison,Dissipativity Theory for Nesterov's Accelerated Method
224,Si Si,Female,Google Research,Cho-Jui Hsieh,Male,"University of California, Davis",Gradient Boosted Decision Trees for High Dimensional Sparse Output
225,Guillaume Gautier,Male,INRIA Lille,Michal Valko,Male,Inria Lille - Nord Europe,Zonotope hit-and-run for efficient sampling from projection DPPs
226,Mohsen Ahmadi Fahandar,Male,Paderborn University,Ines Couso,Male,University of Oviedo,Statistical Inference for Incomplete Ranking Data: The Case of Rank-Dependent Coarsening
227,Bo Liu,Male,Rutgers,Dimitris Metaxas,Male,Rutgers,Dual Iterative Hard Thresholding: From Non-convex Sparse Minimization to Non-smooth Concave Maximization
228,Heinrich Jiang,Male,Google,Heinrich Jiang,Male,Google,Uniform Convergence Rates for Kernel Density Estimation
229,agibiansky Gibiansky,Male,Baidu Research Silicon Valley AI Lab,Andrew Ng,Male,Baidu,Deep Voice: Real-time Neural Text-to-Speech
230,Yuandong Tian,Male,Facebook AI Research,Yuandong Tian,Male,Facebook AI Research,An Analytical Formula of Population Gradient for two-layered ReLU network and its Applications in Convergence and Critical Point Analysis
231,Jean-Michel Begon,Male,University of Liege,Pierre Geurts,Male,University of Liege,Globally Induced Forest: A Prepruning Compression Scheme
232,Justin Domke,Male,"University of Massachusetts, Amherst",Justin Domke,Male,"University of Massachusetts, Amherst",A Divergence Bound for Hybrids of MCMC and Variational Inference and an Application to Langevin Dynamics and SGVI
233,lum Maystre,Male,EPFL,Matt Grossglauser,Male,EPFL,Just Sort It! A Simple and Effective Approach to Active Preference Learning
234,Haichuan Yang,Male,University of Rochester,Ji Liu,Male,University of Rochester,On The Projection Operator to A Three-view Cardinality Constrained Set
235,Heinrich Jiang,Male,Google,Heinrich Jiang,Male,Google,Density Level Set Estimation on Manifolds with DBSCAN
236,Gaëtan HADJERES,Male,LIP6 / SONY CSL,Frank Nielsen,Male,"Sony CSL, Japan",DeepBach: a Steerable Model for Bach Chorales Generation
237,Luca Franceschi,Male,IIT and UCL,Massimiliano Pontil,Male,University College London,Forward and Reverse Gradient-Based Hyperparameter Optimization
238,Hanbo Li,Male,UC San Diego,Andy Martin,Male,Zillow,Forest-type Regression with General Losses and Robust Forest
