59,59,Gabi Shalev,"Dept. of Computer Science, Bar-Ilan University",Yossi Keshet,Bar-Ilan University,Out-of-Distribution Detection using Multiple Semantic Label Representations.
60,60,Linfeng Zhang,Princeton University,Weinan E,Princeton University,End-to-end Symmetry Preserving Inter-atomic Potential Energy Model for Finite and Extended Systems.
61,61,Kuan Han,Purdue University,Zhongming Liu,Purdue University,Deep Predictive Coding Network with Local Recurrent Processing for Object Recognition.
62,62,Sumit Bam Shrestha,Temasek Laboratories @ National University of Singapore,Garrick Orchard,National University of Singapore,SLAYER: Spike Layer Error Reassignment in Time.
63,63,Yang Lu,University of Washington,William Stafford Noble,University of Washington,DeepPINK: reproducible feature selection in deep neural networks.
64,64,Drew Linsley,Brown University,Thomas Serre,Brown University,Learning long-range spatial dependencies with horizontal gated recurrent units.
65,65,Michael Tsang,University of Southern California,Yan Liu,DiDi/University of Southern California,Neural Interaction Transparency (NIT): Disentangling Learned Interactions for Improved Interpretability.
66,66,Risheng Liu,Dalian University of Technology,Zhongxuan Luo,DALIAN UNIVERSITY OF TECHNOLOGY,A Bridging Framework for Model Optimization and Deep Propagation.
67,67,Yuntian Deng,Harvard University,Alexander Rush,Harvard,Latent Alignment and Variational Attention.
68,68,Hung Le,Deakin University,Svetha Venkatesh,Deakin University,Variational Memory Encoder-Decoder.
69,69,Adam Santoro,DeepMind,Timothy Lillicrap,Google DeepMind,Relational recurrent neural networks.
70,70,Matthew MacKay,University of Toronto,Roger Grosse,University of Toronto,Reversible Recurrent Neural Networks.
71,71,Sebastian Flennerhag,Alan Turing Institute,Mark Elliot,University of Manchester,Breaking the Activation Function Bottleneck through Adaptive Parameterization.
72,72,Wei Cao,Tsinghua University,Yitan Li,ByteDance.Inc,BRITS: Bidirectional Recurrent Imputation for Time Series.
73,73,Moritz Wolter,University of Bonn,Angela Yao,National University of Singapore,Complex Gated Recurrent Neural Networks.
74,74,Shikib Mehri,Carnegie Mellon University,Leonid Sigal,University of British Columbia,Middle-Out Decoding.
75,75,Yi Tay,Nanyang Technological University,Siu Cheung Hui,Nanyang Technological University,Recurrently Controlled Recurrent Networks.
76,76,Lazar Valkov,University of Edinburgh,Swarat Chaudhuri,Rice University,HOUDINI: Lifelong Learning as Program Synthesis.
77,77,Yexiang Xue,Purdue University,Ashish Sabharwal,Allen Institute for AI,Expanding Holographic Embeddings for Knowledge Completion.
78,78,Zi Yin,Stanford University,Yuanyuan Shen,Stanford University & Microsoft,On the Dimensionality of Word Embedding.
