799,Minh Hoang,Carnegie Mellon University,Carleton Kingsford,Carnegie Mellon University,Optimizing Dynamic Structures with Bayesian Generative Search
800,Ting Chen,Google Brain,Yizhou Sun,UCLA,Differentiable Product Quantization for End-to-End Embedding Compression
801,Xin Su,Tsinghua University,Feng Chen,Tsinghua University,Task Understanding from Confusing Multi-task Data
802,Zhimei Li,Shanghai University of Finance and Economics,Yaowu Zhang,Shanghai University of Finance and Economics,On a projective ensemble approach to two sample test for equality of distributions
803,Chen Dan,Carnegie Mellon University,Pradeep Ravikumar,Carnegie Mellon University,Sharp Statistical Guaratees for Adversarially Robust Gaussian Classification
804,Sudeep Salgia,Cornell University,Sattar Vakili,Prowler.io,Stochastic Coordinate Minimization with Progressive Precision for Stochastic Convex Optimization
805,Seong-Jin Park,Samsung Advanced Institute of Technology,Sung Ju Hwang,"KAIST, AITRICS",Meta Variance Transfer: Learning to Augment from the Others
806,Utku Evci,Google,Erich Elsen,Google,Rigging the Lottery: Making All Tickets Winners
807,Hyeonseong Jeon,Sungkyunkwan University,Simon Woo,SKKU,T-GD: Transferable GAN-generated Images Detection Framework
808,Risheng Liu,Dalian University of Technology,Jin Zhang,Southern University of Science and Technology,A Generic First-Order Algorithmic Framework for Bi-Level Programming Beyond Lower-Level Singleton
809,Guangzeng Xie,Peking University,Zhihua Zhang,Peking University,Lower Complexity Bounds for Finite-Sum Convex-Concave Minimax Optimization Problems
810,Priyank Jaini,University of Amsterdam,Marcus Brubaker,Borealis AI,Tails of Lipschitz Triangular Flows
811,Srinadh Bhojanapalli,Google AI,Sanjiv Kumar,"Google Research, NY",Low-Rank Bottleneck in Multi-head Attention Models
812,Jiacheng Cheng,"University of California, San Diego",Dacheng Tao,The University of Sydney,Learning with Bounded Instance- and Label-dependent Label Noise
813,Mark Braverman,Princeton University,Yi Zhang,Princeton University,"Calibration, Entropy Rates, and Memory in Language Models"
814,John Miller,"University of California, Berkeley",University of California Moritz Hardt,"University of California, Berkeley",Strategic Classification is Causal Modeling in Disguise
815,Hongyuan Mei,Johns Hopkins University,Jason Eisner,Microsoft Semantic Machines / Johns Hopkins Univ.,Neural Datalog Through Time: Informed Temporal Modeling via Logical Specification
816,Yingyi Ma,UIC,Xinhua Zhang,University of Illinois at Chicago (UIC),Convex Representation Learning for Generalized Invariance in Semi-Inner-Product Space
817,Louis-Pascal Xhonneux,Mila / Université de Montréal,Jian Tang,HEC Montreal & MILA,Continuous Graph Neural Networks
818,Florence Regol,McGill University,Mark Coates,McGill University,Active Learning on Attributed Graphs via Graph   Cognizant Logistic Regression and Preemptive Query Generation
