879,879,Stéphane d'Ascoli,ENS / FAIR,Joan Bruna,NYU,Finding the Needle in the Haystack with Convolutions: on the benefits of architectural bias.
880,880,Hugo Touvron,Facebook AI Research,Herve Jegou,Facebook AI Research,Fixing the train-test resolution discrepancy.
881,881,Takumi Kobayashi,National Institute of Advanced Industrial Science and Technology,Takumi Kobayashi,National Institute of Advanced Industrial Science and Technology,Gaussian-Based Pooling for Convolutional Neural Networks.
882,882,Maurice Weiler,University of Amsterdam,Gabriele Cesa,University of Amsterdam,General E(2)-Equivariant Steerable CNNs.
883,883,Weiyang Liu,Georgia Institute of Technology,Le Song,Georgia Institute of Technology,Neural Similarity Learning.
884,884,Jianwei Yang,Georgia Tech,Devi Parikh,Georgia Tech / Facebook AI Research (FAIR),Cross-channel Communication Networks.
885,885,Chris Wendler,ETH Zurich,Dan Alistarh,IST Austria & NeuralMagic,Powerset Convolutional Neural Networks.
886,886,Qiyang Li,University of Toronto,Joern-Henrik Jacobsen,Vector Institute,Preventing Gradient Attenuation in Lipschitz Constrained Convolutional Networks.
887,887,Taeyoung Hahn,SNUVL,Gunhee Kim,Seoul National University,Self-Routing Capsule Networks.
888,888,Sawyer Birnbaum,Stanford University,Stefano Ermon,Stanford,Temporal FiLM: Capturing Long-Range Sequence Dependencies with Feature-Wise Modulations..
889,889,Dong Yin,UC Berkeley,Justin Gilmer,Google Brain,A Fourier Perspective on Model Robustness in Computer Vision.
890,890,Mitsuru Kusumoto,"Preferred Networks, Inc.",Masanori Koyama,Preferred Networks Inc. ,A Graph Theoretic Framework of Recomputation Algorithms for Memory-Efficient Backpropagation.
891,891,Yaniv Blumenfeld,Technion,Daniel Soudry,Technion,A Mean Field Theory of Quantized Deep Networks: The Quantization-Depth Trade-Off.
892,892,Ayan Chakrabarti,Washington University in St. Louis,Benjamin Moseley,Carnegie Mellon University,Backprop with Approximate Activations for Memory-efficient Network Training.
893,893,Ziyu Jiang,Texas A&M University,Zhangyang Wang,TAMU,E2-Train: Training State-of-the-art CNNs with Over 80% Less Energy.
894,894,Xiao Sun,IBM Thomas J. Watson Research Center,Kailash Gopalakrishnan,IBM Research,Hybrid 8-bit Floating Point (HFP8) Training and Inference for Deep Neural Networks.
895,895,Rebekka Burkholz,Harvard University,Alina Dubatovka,ETH Zurich,Initialization of ReLUs for Dynamical Isometry.
896,896,Ehsan Amid,"University of California, Santa Cruz",Tomer Koren,Google,Robust Bi-Tempered Logistic Loss Based on Bregman Divergences.
897,897,Rohith Kuditipudi,Duke University,Sanjeev Arora,Princeton University,Explaining Landscape Connectivity of Low-cost Solutions for Multilayer Nets.
898,898,Rohan Anil,Google,Yoram Singer,Google,Memory Efficient Adaptive Optimization.
